Tank Level,S1 Input PT,S1 Output PT,S1 Output Flow,Temperature,Class,pred_Class
7.54,4.87,49.59,279.51,51.64,H,H
7.54,4.87,49.59,279.73,51.64,H,A
7.54,4.87,49.6,279.75,51.64,Z,Z
8.28,5.93,81.25,303.68,66.91,F,A
8.28,5.93,88.01,304.01,69.7,F,F
8.06,5.23,52.18,291.64,53.16,Z,A
8.06,5.23,52.18,291.64,53.16,Z,Z
8.87,5.8,67.29,341.52,62.78,F,A
8.87,5.8,94.57,353.63,76.22,F,F
8.87,5.8,0.0,0.0,29.64,F,A
8.87,5.8,24.37,0.0,41.64,G,G
8.87,5.8,35.41,228.43,47.08,H,H
8.87,5.8,46.94,285.74,52.76,H,A
8.87,5.8,49.89,334.88,54.21,H,H
8.87,5.8,52.33,334.88,55.41,H,H
8.87,5.8,52.33,335.14,55.41,H,A
8.87,5.8,52.34,335.17,55.42,Z,Z
8.87,5.8,52.34,335.17,55.42,Z,A
7.96,5.8,47.36,198.74,49.14,H,H
7.96,5.8,62.79,248.61,55.07,H,A
8.44,5.42,51.1,295.39,55.47,Z,Z
8.44,5.42,79.41,305.62,69.76,F,F
8.44,5.42,84.51,308.49,72.34,F,F
8.44,5.42,92.33,311.38,76.29,F,A
8.44,5.42,23.8,0.0,41.68,G,G
8.44,5.42,34.57,201.13,47.12,H,H
8.44,5.42,45.83,251.6,52.81,H,H
8.44,5.42,48.71,294.87,54.26,H,A
8.44,5.42,51.1,295.12,55.47,Z,Z
9.1,5.95,66.24,341.39,65.13,Z,A
9.1,5.95,68.03,347.68,66.05,F,F
9.1,5.95,73.56,350.02,68.88,F,A
9.1,5.95,24.64,0.0,43.81,G,G
9.1,5.95,35.8,232.55,49.53,H,H
9.1,5.95,47.46,290.89,55.5,H,A
9.1,5.95,50.44,340.92,57.03,H,A
9.1,5.95,52.9,340.92,58.29,H,H
9.1,5.95,52.9,341.19,58.29,H,H
9.1,5.95,52.91,341.22,58.3,Z,Z
6.02,2.21,48.59,219.56,58.66,C,A
5.09,1.91,48.59,219.56,58.66,C,C
4.6,1.59,48.59,219.56,58.66,C,A
8.41,4.45,52.07,265.05,67.25,Z,A
8.41,4.45,52.08,265.07,67.25,Z,Z
8.41,4.45,52.08,255.24,67.25,Z,Z
8.41,4.45,52.08,249.37,67.25,D,Z
8.41,4.45,52.08,225.91,67.25,D,Z
8.41,4.45,57.3,173.09,70.35,D,D
8.41,4.45,60.14,167.27,72.04,D,D
8.41,4.45,61.4,162.38,72.79,D,D
8.41,4.45,59.75,162.88,71.81,D,A
7.0,10.42,49.19,228.22,57.45,C,C
7.0,2.41,49.19,228.0,57.45,C,C
7.0,3.67,49.19,227.89,57.45,Z,A
6.81,5.24,49.71,279.93,53.4,Z,A
6.81,5.24,49.72,279.95,53.4,Z,A
6.81,5.24,49.72,279.95,53.4,Z,A
6.81,5.24,49.72,185.15,53.4,D,A
6.81,5.24,54.61,181.46,55.85,D,D
6.81,5.24,57.28,175.22,57.18,D,D
6.81,5.24,58.46,169.99,57.76,D,D
6.81,5.24,56.91,170.52,56.99,D,D
6.81,5.24,57.59,178.49,57.33,D,D
7.9,4.77,40.67,194.2,45.89,Z,A
8.13,4.72,50.08,250.95,57.26,Z,A
5.42,1.56,50.08,250.4,57.26,C,Z
4.85,1.85,52.34,250.4,58.36,C,Z
4.23,1.44,50.08,250.4,57.26,C,A
4.15,1.5,50.08,250.4,57.26,C,C
4.06,1.34,50.08,250.4,57.26,C,C
8.53,5.64,79.27,323.17,70.72,Z,A
8.53,5.64,84.2,323.17,72.86,F,C
8.53,5.64,91.21,323.52,75.9,F,F
8.53,5.64,93.68,329.48,76.97,F,F
8.53,5.64,101.29,331.69,80.27,F,F
8.53,5.64,113.23,334.85,85.45,F,F
8.25,5.62,43.96,285.31,53.8,Z,A
8.25,5.62,43.96,285.31,53.8,Z,A
8.25,5.62,43.96,285.59,53.8,Z,A
8.25,5.62,43.96,285.59,53.8,Z,A
8.25,5.62,43.95,284.9,53.79,Z,A
8.25,5.62,47.83,284.9,56.0,Z,A
8.25,5.62,50.8,284.9,57.69,Z,A
8.25,5.62,55.03,285.21,60.1,Z,A
8.25,5.62,20.47,0.0,40.43,G,G
8.25,5.62,29.74,194.28,45.7,H,H
8.25,5.62,39.43,243.02,51.22,H,H
8.25,5.62,41.91,284.81,52.63,H,H
8.25,5.62,43.95,284.81,53.79,H,A
7.78,5.3,68.32,272.28,64.32,F,A
7.78,5.3,70.17,277.29,65.22,F,F
7.78,5.3,75.87,279.16,68.02,F,F
7.78,5.3,84.81,281.82,72.41,F,F
7.78,5.3,90.26,284.47,75.08,F,A
8.06,5.64,124.96,314.13,85.77,F,A
8.06,5.64,0.0,0.0,33.36,G,G
8.06,5.64,32.2,0.0,46.86,H,H
8.06,5.64,46.78,202.91,52.98,H,H
8.06,5.64,62.02,253.82,59.37,H,H
8.65,5.74,53.06,300.19,60.37,Z,A
8.65,5.74,56.36,300.19,62.2,Z,A
8.65,5.74,61.05,300.52,64.79,Z,A
8.65,5.74,62.71,306.05,65.71,F,A
8.65,5.74,67.8,308.11,68.53,F,A
8.65,5.74,75.79,311.04,72.95,F,A
8.65,5.74,80.66,313.97,75.64,F,A
8.65,5.74,88.13,316.9,79.77,F,A
8.65,5.74,0.0,0.0,31.02,F,F
8.65,5.74,22.71,0.0,43.59,G,G
8.65,5.74,32.99,204.7,49.27,H,H
8.65,5.74,43.74,256.06,55.22,H,H
8.65,5.74,46.49,300.1,56.74,H,A
7.0,5.54,51.15,244.19,55.7,D,I
7.0,5.54,58.93,179.76,59.64,D,D
7.0,5.54,60.14,174.39,60.25,D,D
7.0,5.54,58.55,174.94,59.44,D,D
7.0,5.54,59.25,183.11,59.8,D,D
7.04,4.52,28.3,135.58,38.22,I,D
7.02,4.56,30.8,143.68,39.44,I,I
7.03,4.54,32.31,149.97,40.18,I,I
7.03,4.54,34.07,156.72,41.04,I,I
7.03,4.54,35.83,163.46,41.89,I,A
7.1,5.18,54.53,263.85,53.77,Z,A
7.1,5.18,54.53,263.85,53.77,Z,A
7.1,5.18,54.53,264.11,53.77,A,A
7.1,5.18,54.53,263.81,53.77,A,A
6.59,5.08,48.77,196.53,46.71,A,A
6.59,5.08,48.77,173.84,46.71,D,D
6.92,5.64,55.26,263.17,48.14,Z,Z
6.92,5.64,55.26,263.66,48.14,Z,Z
6.92,5.64,55.26,253.28,48.14,Z,Z
6.92,5.64,55.26,247.37,48.14,D,D
6.92,5.64,55.26,223.76,48.14,D,D
6.92,5.64,55.26,204.39,48.14,D,D
6.92,5.64,55.26,196.76,48.14,D,D
7.1,4.7,52.75,269.0,53.1,A,A
7.1,4.7,66.03,268.63,59.32,Z,Z
7.1,4.7,67.82,273.58,60.15,A,A
7.1,4.7,73.33,275.42,62.73,A,A
7.1,4.7,81.98,278.04,66.78,F,F
7.1,4.7,87.24,280.66,69.25,F,F
7.1,4.7,95.32,283.28,73.03,F,F
7.1,4.7,0.0,0.0,28.4,F,F
7.1,4.7,24.57,0.0,39.9,G,G
7.1,4.7,35.69,182.99,45.11,H,H
7.1,4.7,47.31,228.9,50.55,H,H
7.1,4.7,50.28,268.26,51.94,H,H
7.1,4.7,52.75,268.49,53.1,Z,Z
7.1,4.7,52.75,268.61,53.1,Z,Z
7.1,4.7,52.75,268.69,53.1,Z,Z
7.55,4.1,49.87,158.89,62.69,D,D
7.55,4.1,48.24,239.98,61.69,D,D
7.2,4.75,52.0,278.85,51.01,Z,Z
7.2,4.75,55.23,278.85,52.55,Z,Z
7.2,4.75,59.83,279.16,54.74,Z,Z
7.2,4.75,61.45,284.29,55.51,F,F
7.2,4.75,66.44,286.21,57.9,F,F
7.2,4.75,22.26,0.0,36.82,G,G
7.2,4.75,32.33,190.15,41.63,H,A
7.2,4.75,42.87,237.86,46.65,H,H
7.2,4.75,45.56,278.77,47.94,H,H
7.2,4.75,47.78,278.77,49.0,H,H
7.2,4.75,47.78,278.99,49.0,H,H
7.2,4.75,47.79,279.13,49.0,Z,Z
7.2,4.75,47.79,279.13,49.0,Z,Z
7.2,4.75,47.79,279.22,49.0,Z,Z
8.81,5.81,82.35,328.43,71.11,Z,Z
8.81,5.81,117.62,340.31,85.92,F,F
8.81,5.81,125.18,343.5,89.1,F,F
8.81,5.81,136.77,346.72,93.96,F,F
8.81,5.81,0.0,0.0,36.54,G,G
8.81,5.81,35.25,0.0,51.34,H,H
8.81,5.81,51.2,223.96,58.04,H,H
8.81,5.81,67.88,280.15,65.04,H,H
8.81,5.81,75.69,329.48,68.32,Z,Z
8.81,5.81,75.69,328.76,68.32,Z,Z
8.81,5.81,75.69,328.76,68.32,Z,Z
8.81,5.81,75.69,328.86,68.32,Z,Z
9.35,1.3,48.31,1.33,54.16,D,D
9.47,1.06,50.13,1.12,55.06,D,D
9.34,1.33,52.38,1.4,56.19,D,D
9.44,1.11,56.15,1.11,58.08,D,D
6.55,5.54,55.24,253.66,47.72,Z,A
6.55,5.54,55.24,254.12,47.72,Z,A
6.55,5.54,55.24,244.11,47.72,Z,A
6.55,5.54,63.23,154.51,50.92,D,D
6.55,5.54,63.98,161.72,51.23,D,D
6.55,5.54,61.74,167.19,50.33,D,D
6.55,5.54,59.75,254.32,49.53,D,D
6.55,5.54,59.32,253.77,49.35,Z,Z
6.55,5.54,55.24,253.77,47.72,Z,Z
6.55,5.54,55.24,253.85,47.72,Z,Z
5.11,9.79,48.31,9.79,54.16,D,D
7.02,4.73,49.59,271.92,50.16,Z,Z
7.02,4.73,52.68,271.92,51.68,Z,Z
7.02,4.73,57.06,272.21,53.84,Z,Z
7.02,4.73,58.61,277.22,54.6,F,F
7.02,4.73,63.37,279.09,56.94,F,F
7.02,4.73,70.84,281.75,60.61,F,F
7.02,4.73,21.23,0.0,36.21,G,G
7.02,4.73,30.84,185.42,40.94,H,H
7.02,4.73,40.89,231.94,45.88,H,H
7.02,4.73,43.45,271.83,47.14,H,H
7.02,4.73,45.59,272.07,48.19,Z,Z
7.02,4.73,45.59,272.07,48.19,Z,Z
7.02,4.73,45.59,272.57,48.19,Z,A
8.74,5.46,50.77,224.9,56.76,I,I
8.74,5.46,48.34,224.9,55.48,I,I
8.78,5.38,48.34,224.84,55.48,Z,Z
8.78,5.38,48.34,224.84,55.48,Z,Z
8.79,5.37,48.34,224.94,55.48,Z,Z
8.68,5.23,31.57,165.43,43.21,I,I
8.68,5.23,30.68,158.85,42.77,I,I
6.99,5.04,54.33,257.72,52.82,Z,Z
6.99,5.04,54.33,257.72,52.82,Z,Z
6.99,5.04,54.33,257.97,52.82,Z,Z
6.99,5.04,54.33,257.97,52.82,Z,Z
6.99,5.04,62.79,257.34,56.64,F,F
6.99,5.04,68.02,257.62,59.01,F,F
6.99,5.04,69.86,262.36,59.84,F,F
6.99,5.04,75.53,264.13,62.41,F,F
6.99,5.04,0.0,0.0,28.25,G,G
6.99,5.04,25.3,0.0,39.69,H,H
6.99,5.04,36.76,175.48,44.87,H,H
6.99,5.04,48.73,219.51,50.29,H,H
6.99,5.04,51.79,257.26,51.67,H,H
8.24,5.52,49.73,275.46,56.39,Z,Z
8.24,5.52,52.82,275.46,58.09,Z,Z
8.24,5.52,57.22,275.76,60.51,Z,Z
8.24,5.52,58.77,280.83,61.37,F,F
8.24,5.52,63.54,282.72,64.0,F,F
8.24,5.52,21.29,0.0,40.71,G,G
