TIME,Tank Level,S1 Input PT,S1 Output PT,S1 Output Flow,L1-PT,L2-PT,L3-PT,L4-PT,S2 Receipt Flow,S2-PT,S2 Forward Flow,L5-PT,L6-PT,L7-PT,L8-PT,S3 Receipt Flow,S3-PT,Temperature,Class
2020/7/15 0:51:45,3.469060606,1.13,51.04,270.48,41.59,21.06,22.09,28.49,131.55,29.56,138.94,18.2,25.73,25.78,29.34,139.73,26.15,55.52,C
2020/7/15 0:51:50,3.9,1.45,51.04,270.48,41.58,21.06,22.09,28.49,131.55,29.56,138.94,18.2,25.73,25.78,29.34,139.6,26.15,55.52,C
2020/7/15 0:51:55,4,2,51.03,270.07,41.58,21.06,22.09,28.49,131.55,29.56,138.76,18.2,25.73,25.78,29.34,139.66,26.15,55.515,C
2020/7/15 0:52:00,4.320626263,2.396666667,51.08,270.04,41.63,21.02,22,28.43,131.38,29.5,138.76,18.15,25.64,25.72,29.28,139.5,26.09,55.54,C
2020/7/15 0:52:05,4.58609596,2.831666667,51.09,270.06,41.63,21.02,22,28.41,131.38,29.5,138.76,18.16,25.64,25.72,29.28,139.5,26.09,55.545,C
2020/7/15 0:52:10,4.851565657,3.266666667,51.09,270.06,41.63,21.02,22,28.42,131.38,29.5,138.76,18.16,25.64,25.72,29.28,139.5,26.09,55.545,C
2020/7/15 0:52:15,5.117035354,3.701666667,51.09,270.55,41.63,21.02,22,28.42,131.38,29.5,138.63,18.15,25.64,25.72,29.28,139.5,26.09,55.545,C
2020/7/15 0:52:20,5.382505051,4.136666667,51.09,259.87,41.63,21.02,22,28.42,131.38,29.5,138.63,18.15,25.64,25.72,29.28,139.5,26.09,55.545,C
2020/7/15 0:52:25,5.647974747,4.571666667,51.09,253.92,41.63,21.02,22,28.42,131.38,29.5,138.63,18.15,25.64,25.72,29.28,139.5,26.09,55.545,C
2020/7/15 0:52:30,5.913444444,5.006666667,51.09,229.96,41.63,21.02,22,28.42,131.38,29.5,138.63,18.15,25.64,25.72,29.28,139.5,26.09,55.545,C
2020/7/15 0:52:35,6.178914141,5.441666667,51.09,210.21,41.63,21.02,22,28.42,131.38,29.5,138.63,18.15,25.64,25.72,29.28,139.5,26.09,55.545,C
2020/7/15 0:52:40,6.444383838,5.876666667,51.09,202.5,41.63,21.02,22,28.42,131.38,29.5,138.63,18.15,25.64,25.72,29.28,139.5,26.09,55.545,C
2020/7/15 0:52:45,6.709853535,6.311666667,55.06,179.47,41.63,21.02,22,28.42,131.38,29.5,138.63,18.15,25.64,25.72,29.28,139.5,26.09,57.53,C
2020/7/15 0:52:50,7.5,5,56.24,175.89,41.63,21.02,22,28.42,131.38,29.5,138.63,18.15,25.64,25.72,29.28,139.5,26.09,58.12,C
2020/7/15 0:52:55,7.5,5,59.12,169.9,41.63,21.02,22,28.42,131.38,29.5,138.63,18.15,25.64,25.72,29.28,139.5,26.09,59.56,Z
2020/7/15 0:53:00,7.5,5,60.37,189.18,41.63,21.02,22,28.42,131.38,29.5,138.63,18.15,25.64,25.72,29.28,139.5,26.09,60.185,Z
2020/7/15 0:53:05,7.5,5,56.98,200.76,41.63,21.02,22,28.42,131.38,29.5,138.63,18.15,25.64,25.72,29.28,139.5,26.09,58.49,Z
2020/7/15 0:53:10,7.5,5,54.39,209.82,41.63,21.02,22,28.42,131.38,29.5,138.63,18.15,25.64,25.72,29.28,139.5,26.09,57.195,Z
2020/7/15 0:53:15,7.5,5,53.09,249.96,41.63,21.02,22,28.42,131.38,29.5,138.63,18.15,25.64,25.72,29.28,139.5,26.09,56.545,Z
2020/7/15 0:53:20,7.5,5,51.09,270.71,41.63,21.02,22,28.42,131.38,29.5,138.63,18.15,25.64,25.72,29.28,139.5,26.09,55.545,Z
2020/7/15 0:53:25,7.5,5,51.09,270.05,41.63,21.02,22,28.42,131.38,29.5,138.63,18.15,25.64,25.72,29.28,139.5,26.09,55.545,Z
2020/7/15 1:03:30,7.53,4.94,51.04,270.16,41.59,21.06,22.08,28.48,131.6,29.56,138.83,18.2,25.73,25.79,29.33,139.63,26.15,55.52,Z
2020/7/15 1:03:35,7.535,4.93,51.04,270.7,41.59,21.06,22.08,28.48,131.6,29.56,138.83,18.2,25.73,25.79,29.35,139.63,26.15,55.52,Z
2020/7/15 1:03:40,7.535,4.93,50,270.7,41.59,21.06,22.08,28.48,131.6,29.56,138.83,18.2,25.73,25.79,29.34,139.63,26.15,55,Z
2020/7/15 1:03:45,7.535,4.93,49.12,270.29,41.59,21.06,22.08,28.49,131.6,29.56,138.83,18.2,25.73,25.79,29.34,139.63,26.15,54.56,Z
2020/7/15 1:03:50,7.525,4.95,48.13333333,270.2,41.59,21.06,22.08,28.48,131.48,29.56,138.83,18.2,25.73,25.79,29.34,139.75,26.15,54.06666667,Z
2020/7/15 1:03:55,7.52,4.96,47.17333333,270.43,41.59,21.06,22.08,28.48,131.48,29.56,138.83,18.2,25.73,25.79,29.34,139.75,26.15,53.58666667,Z
2020/7/15 1:04:00,7.52,4.96,46.21333333,270.54,41.59,21.06,22.08,28.49,131.48,29.56,138.83,18.2,25.73,25.79,29.34,139.75,26.15,53.10666667,Z
2020/7/15 1:04:05,7.52,4.96,45.25333333,270.54,41.59,21.06,22.08,28.49,131.59,29.56,138.83,18.2,25.73,25.79,29.34,139.71,26.15,52.62666667,Z
2020/7/15 1:04:10,7.51,4.98,44.29333333,270.39,41.59,21.06,22.08,28.49,131.59,29.56,138.71,18.2,25.73,25.79,29.38,139.71,26.15,52.14666667,Z
2020/7/15 1:04:15,7.5,5,43.33333333,281,41.59,21.06,22.08,28.49,131.46,29.56,138.71,18.2,25.73,25.79,29.34,139.71,26.15,51.66666667,Z
2020/7/15 1:04:20,7.485,5.03,42.37333333,273,41.59,21.06,22.08,28.49,131.46,29.56,138.71,18.2,25.73,25.79,29.33,139.71,26.15,51.18666667,Z
2020/7/15 1:04:25,7.485,5.03,41.41333333,270.22,41.59,21.06,22.08,28.49,131.46,29.56,138.71,18.2,25.73,25.79,29.33,139.71,26.15,50.70666667,Z
2020/7/15 1:04:30,7.475,5.05,40.45333333,270.24,41.59,21.06,22.08,28.49,131.46,29.56,138.71,18.2,25.73,25.79,29.33,139.71,26.15,50.22666667,Z
2020/7/15 1:04:35,7.475,5.05,39.49333333,270.65,41.59,21.06,22.08,28.49,131.46,29.56,138.71,18.2,25.73,25.79,29.33,139.71,26.15,49.74666667,Z
2020/7/15 1:04:40,7.475,5.05,38.53333333,270.65,41.59,21.06,22.08,28.49,131.46,29.56,138.71,18.2,25.73,25.79,29.33,139.71,26.15,49.26666667,Z
2020/7/15 1:04:45,7.46,5.08,37.57333333,270.49,41.59,21.06,22.08,28.48,131.46,29.56,138.71,18.2,25.73,25.79,29.33,139.71,26.15,48.78666667,Z
2020/7/15 1:04:50,7.46,5.08,36.61333333,270.41,41.59,21.06,22.08,28.48,131.46,29.56,138.73,18.2,25.73,25.79,29.33,139.71,26.15,48.30666667,Z
2020/7/15 1:04:55,7.42,5.16,35.65333333,270.51,41.58,21.06,22.06,28.49,131.46,29.56,138.73,18.21,25.73,25.79,29.33,139.71,26.15,47.82666667,Z
2020/7/15 1:05:00,7.42,5.16,34.69333333,270.51,41.58,21.06,22.06,28.48,131.46,29.55,138.73,18.21,25.73,25.79,29.33,139.65,26.15,47.34666667,Z
2020/7/15 1:05:05,7.375,5.25,33.73333333,270.18,41.58,21.06,22.06,28.48,131.57,29.55,138.73,18.21,25.73,25.79,29.31,139.65,26.15,46.86666667,Z
2020/7/15 1:05:10,7.375,5.25,32.77333333,270.41,41.58,21.06,22.06,28.49,131.57,29.55,138.73,18.21,25.73,25.79,29.33,139.65,26.15,46.38666667,Z
2020/7/15 1:05:15,7.37,5.26,34,270.21,41.58,21.06,22.06,28.49,131.57,29.55,138.87,18.21,25.73,25.79,29.33,139.65,26.15,47,Z
2020/7/15 1:05:20,7.75,4.5,38.03,260.31,38.54,18.05,19.78,26.4,140.52,27.47,129.69,16.37,24.13,24.51,28.33,130.45,25.39,49.015,I
2020/7/15 1:05:25,7.75,4.5,30.03,250.52,38.54,18.05,19.78,26.4,140.52,27.47,129.69,16.37,24.13,24.51,28.33,130.55,25.39,45.015,I
2020/7/15 1:05:30,7.75,4.5,27.03,240.32,38.54,18.05,19.78,26.4,140.52,27.47,129.69,16.37,24.13,24.51,28.33,130.55,25.39,43.515,I
2020/7/15 1:05:35,7.75,4.5,25.03,230.33,38.54,18.05,19.78,26.4,140.42,27.47,129.69,16.37,24.13,24.51,28.33,130.55,25.39,42.515,I
2020/7/15 1:05:40,7.75,4.5,22.03,220.33,38.54,18.05,19.78,26.4,140.42,27.47,129.69,16.37,24.13,24.51,28.33,130.57,25.39,41.015,I
2020/7/15 1:05:45,7.75,4.5,25.03,240.34,38.54,18.05,19.78,26.4,140.42,27.47,129.69,16.37,24.13,24.51,28.33,130.57,25.39,42.515,I
2020/7/15 1:05:50,7.75,4.5,35.03,250.34,38.54,18.05,19.78,26.4,140.42,27.47,129.69,16.37,24.13,24.51,28.32,130.46,25.39,47.515,I
2020/7/15 1:05:55,7.75,4.5,40.03,260.41,38.54,18.05,19.78,26.4,140.42,27.47,129.69,16.37,24.13,24.51,28.32,130.46,25.39,50.015,I
2020/7/15 1:06:00,7.75,4.5,45.03,265.41,38.54,18.05,19.78,26.4,140.42,27.47,129.69,16.37,24.13,24.51,28.32,130.46,25.39,52.515,I
2020/7/15 1:06:05,7.385,5.23,51.05,270.53,41.58,21.06,22.06,28.47,131.48,29.55,138.7,18.21,25.73,25.79,29.33,139.65,26.15,55.525,Z
2020/7/15 1:06:10,7.395,5.21,51.05,270.57,41.58,21.06,22.06,28.47,131.48,29.55,138.7,18.21,25.73,25.79,29.33,139.65,26.15,55.525,Z
2020/7/15 1:06:15,7.395,5.21,51.05,270.57,41.58,21.06,22.06,28.48,131.59,29.55,138.82,18.21,25.73,25.79,29.33,139.65,26.15,55.525,Z
2020/7/15 1:06:20,7.41,5.18,51.05,270.27,41.58,21.06,22.06,28.48,131.59,29.55,138.82,18.21,25.73,25.79,29.33,139.65,26.15,55.525,Z
2020/7/15 1:06:25,7.41,5.18,51.05,270.17,41.59,21.06,22.06,28.48,131.59,29.55,138.69,18.21,25.73,25.79,29.33,139.65,26.15,55.525,Z
2020/7/15 1:06:30,7.42,5.16,51.05,270.45,41.58,21.06,22.06,28.48,131.59,29.55,138.69,18.21,25.73,25.79,29.33,139.65,26.15,55.525,Z
2020/7/15 1:06:35,7.42,5.16,51.05,270.45,41.59,21.06,22.06,28.48,131.48,29.55,138.69,18.21,25.73,25.79,29.33,139.65,26.15,55.525,Z
2020/7/15 1:06:40,7.425,5.15,51.05,270.57,41.59,21.06,22.06,28.48,131.48,29.55,138.69,18.21,25.73,25.79,29.33,139.65,26.15,55.525,Z
2020/7/18 0:57:45,7.755,4.49,50.96,250.96,36.97,14.72,17.34,25.69,0,28.09,218.63,16.41,21.43,18.94,19.53,220.91,13.38,55.48,A
2020/7/18 0:57:50,7.755,4.49,60.96,290.96,36.97,14.72,17.34,25.69,0,28.09,218.63,16.41,21.43,18.94,19.53,220.9,13.38,60.48,A
2020/7/18 0:57:55,7.75,4.5,70.96,330.96,36.97,14.72,17.34,25.69,0,28.09,218.63,16.41,21.43,18.94,19.53,220.84,13.38,65.48,A
2020/7/18 0:58:00,7.75,4.5,80.96,370.96,36.97,14.72,17.34,25.69,0,28.09,218.63,16.41,21.43,18.94,19.52,220.84,13.38,70.48,A
2020/7/18 0:58:05,7.75,4.5,90.96,410.96,36.97,14.72,17.34,25.69,0,28.09,218.63,16.41,21.43,18.94,19.52,220.84,13.38,75.48,A
2020/7/18 0:58:10,7.755,4.49,92.96,420.96,36.97,14.72,17.34,25.68,0,28.09,218.66,16.41,21.43,18.94,19.51,220.84,13.38,76.48,A
2020/7/18 0:58:15,7.755,4.49,80.96,390.96,36.95,14.72,17.34,25.66,0,28.09,218.66,16.41,21.43,18.94,19.53,220.84,13.38,70.48,A
2020/7/18 0:58:20,7.755,4.49,60.96,360.96,36.97,14.72,17.34,25.66,0,28.09,218.66,16.41,21.43,18.94,19.52,220.84,13.38,60.48,A
2020/7/18 0:58:25,7.755,4.49,40.96,330.96,36.97,14.72,17.34,25.66,0,28.09,218.66,16.41,21.43,18.94,19.52,220.84,13.38,50.48,A
2020/7/16 3:58:25,7.755,4.49,50.58,250.2,30.71,12.15,16.68,27.58,0,28.57,90.92,14.28,24.48,26.76,32.4,0,31.43,55.29,A
2020/7/16 3:58:30,7.755,4.49,65.76,290.2,31.16,12.15,16.68,27.56,0,28.34,104.36,14.27,24.48,26.76,32.4,0,31.36,62.88,A
2020/7/16 3:58:35,7.75,4.5,75.92,330.2,31.76,12.83,16.68,27.33,0,28.15,117.25,14.41,24.48,26.76,32.4,0,31.36,67.96,A
2020/7/16 3:58:40,7.75,4.5,86.08,370.2,32.08,14.01,16.68,26.52,0,28.15,117.25,15.31,24.48,26.76,32.4,0,31.36,73.04,A
2020/7/16 3:58:45,7.75,4.5,93.08,400,32.47,14.15,16.58,24.73,0,28.39,124.7,15.31,24.48,26.76,32.4,0,31.3,76.54,A
2020/7/16 3:58:50,7.755,4.49,85.22,350,32.73,14.15,16.58,24.73,0,28.39,123.11,17.44,24.48,26.69,32.41,0,31.3,72.61,A
2020/7/16 3:58:55,7.75,4.5,65,310,32.88,14.15,16.58,24.48,8,28.28,119.97,18.23,24.48,26.69,32.41,0,31.37,62.5,A
2020/7/16 3:59:00,7.75,4.5,45,270,33.07,14.15,16.58,24.44,8.13,28.28,117.36,18.41,24.48,26.62,32.41,0,31.37,52.5,A
2020/7/17 15:50:30,6.675,6.65,47.66,250.12,31.58,11.8,14.41,22.69,101.49,25.08,118.71,15.68,24.18,24.85,28.95,119.85,26.29,53.83,A
2020/7/17 15:50:35,6.9,6.65,57.66,290.97,31.57,11.8,14.41,22.69,101.49,25.08,118.71,15.68,24.18,24.85,28.95,119.97,26.29,58.83,A
2020/7/17 15:50:40,7,6.65,69.66,331.82,31.58,11.8,14.41,22.69,101.49,25.08,118.71,15.68,24.18,24.85,28.95,120,26.29,64.83,A
2020/7/17 15:50:45,7.5,6.65,73.66,372.67,31.58,11.8,14.41,22.69,101.49,25.08,118.71,15.68,24.18,24.85,28.97,119.79,26.29,66.83,A
2020/7/17 15:50:50,7.2,6.65,90.66,400.25,31.57,11.8,14.41,22.69,101.49,25.08,118.71,15.68,24.18,24.85,28.96,119.79,26.29,75.33,A
2020/7/17 15:50:55,6.9,6.65,86.66,350.26,31.57,11.8,14.41,22.69,101.49,25.08,118.71,15.68,24.18,24.85,28.96,119.79,26.29,73.33,A
2020/7/17 15:51:00,6.6,6.65,71.66,300.27,31.57,11.8,14.41,22.71,101.49,25.08,118.71,15.68,24.18,24.85,28.96,119.94,26.29,65.83,A
2020/7/17 15:51:05,6.5,6.65,51.66,260.16,31.57,11.8,14.41,22.71,101.49,25.08,118.71,15.68,24.18,24.85,28.96,119.87,26.29,55.83,A
2020/7/16 23:10:50,7.495,5.01,55.72,240.93,35.88,16.62,19.28,27.63,98.58,30.07,119.15,20.63,28.84,29.4,33.48,120.01,30.82,57.86,A
2020/7/16 23:10:55,7.495,5.01,65.72,270.89,35.88,16.62,19.28,27.63,98.54,30.07,119.15,20.63,28.84,29.4,33.48,120.01,30.82,62.86,A
2020/7/16 23:11:00,7.495,5.01,75.72,300.89,35.88,16.62,19.28,27.63,98.65,30.07,119.15,20.64,28.84,29.4,33.48,120.01,30.82,67.86,A
2020/7/16 23:11:05,7.495,5.01,85.72,350.83,35.88,16.62,19.28,27.63,98.65,30.07,119.15,20.63,28.84,29.4,33.48,120.01,30.82,72.86,A
2020/7/16 23:11:10,7.485,5.03,95.72,420.97,35.88,16.62,19.28,27.63,98.65,30.07,119.15,20.63,28.84,29.4,33.48,120.01,30.82,77.86,A
2020/7/16 23:11:15,7.485,5.03,85.72,400.77,35.88,16.62,19.28,27.63,98.51,30.07,119.15,20.63,28.84,29.4,33.48,120.01,30.82,72.86,A
2020/7/16 23:11:20,7.485,5.03,75.72,340.77,35.88,16.62,19.28,27.63,98.65,30.07,119.15,20.63,28.84,29.4,33.49,120.01,30.82,67.86,A
2020/7/16 23:11:25,7.485,5.03,65.72,280.68,35.88,16.62,19.28,27.63,98.65,30.07,119.02,20.63,28.84,29.4,33.48,120.01,30.82,62.86,A
2020/7/16 23:11:30,7.485,5.03,55.72,250.79,35.89,16.62,19.28,27.63,98.65,30.07,119.02,20.64,28.84,29.4,33.49,120.01,30.82,57.86,A
2020/7/17 6:23:00,7.5,5,45.36,219.97,35.92,16.62,19.26,27.57,98.41,29.99,120.72,20.52,30.03,30.53,34.58,121.9,31.86,52.68,Z
2020/7/17 6:23:05,7.5,5,45.36,219.97,35.92,16.62,19.26,27.58,98.41,29.99,120.72,20.52,30.03,30.53,34.58,121.9,31.86,52.68,Z
2020/7/17 6:23:10,7.5,5,45.36,219.78,35.92,16.62,19.26,27.57,98.41,29.99,120.72,20.52,30.03,30.53,34.58,121.9,31.86,52.68,Z
2020/7/17 6:23:15,7.5,5,45.36,219.83,35.91,16.62,19.26,27.57,98.41,29.99,120.72,20.52,30.03,30.53,34.58,121.85,31.86,52.68,Z
2020/7/17 6:23:20,7.495,5.01,50.5,219.59,35.92,16.62,19.26,27.57,98.41,29.99,120.72,20.52,30.03,30.53,34.57,121.97,31.86,55.25,A
2020/7/17 6:23:25,7.505,4.99,58,219.83,35.92,16.62,19.26,27.57,98.41,29.99,120.72,20.52,30.03,30.53,34.57,121.97,31.86,59,A
2020/7/17 6:23:30,7.505,4.99,70,220.07,35.92,16.62,19.26,27.56,98.41,29.99,120.72,20.52,30.03,30.53,34.57,121.97,31.86,65,A
2020/7/17 6:23:35,7.505,4.99,79,220.07,35.92,16.62,19.26,27.56,98.41,29.99,120.72,20.52,30.03,30.53,34.57,121.97,31.86,69.5,A
2020/7/17 6:23:40,7.5,5,88.75,219.83,35.92,16.62,19.26,27.58,98.41,29.99,120.72,20.52,30.03,30.53,34.58,121.87,31.86,74.375,A
2020/7/17 6:23:45,7.5,5,98.5,219.71,35.92,16.62,19.26,27.58,98.41,29.99,120.72,20.52,30.03,30.53,34.58,121.87,31.86,79.25,A
2020/7/17 6:23:50,7.5,5,70,219.68,35.92,16.62,19.26,27.58,98.41,29.99,120.72,20.52,30.03,30.53,34.57,121.87,31.86,65,A
2020/7/17 6:23:55,7.5,5,50,219.68,35.92,16.62,19.26,27.58,98.41,29.99,120.72,20.52,30.03,30.53,34.57,121.87,31.86,55,A
2020/7/17 6:24:00,7.5,5,45.36,219.58,35.91,16.62,19.26,27.58,98.41,29.99,120.72,20.52,30.03,30.53,34.57,121.97,31.86,52.68,Z
2020/7/17 6:24:05,7.5,5,45.36,219.97,35.91,16.62,19.26,27.58,98.41,29.99,120.72,20.52,30.03,30.53,34.57,121.97,31.86,52.68,Z
2020/7/17 6:24:10,7.5,5,45.36,219.8,35.91,16.62,19.26,27.58,98.41,29.99,120.72,20.52,30.03,30.53,34.57,121.97,31.86,52.68,Z
2020/7/17 6:24:15,7.5,5,45.36,219.8,35.91,16.62,19.26,27.58,98.41,29.99,120.72,20.52,30.03,30.53,34.57,121.97,31.86,52.68,Z
2020/7/16 23:13:25,7.485,5.03,45.71,218.94,35.89,16.63,19.28,27.63,98.72,30.07,119.07,20.63,28.85,29.41,33.5,120.02,30.83,52.855,Z
2020/7/16 23:13:30,7.485,5.03,45.71,218.94,35.89,16.63,19.28,27.63,98.72,30.07,119.07,20.64,28.85,29.41,33.49,120.02,30.83,52.855,Z
2020/7/16 23:13:35,7.495,5.01,45.71,218.58,35.89,16.63,19.28,27.63,98.72,30.07,119.07,20.63,28.85,29.41,33.5,120.02,30.83,52.855,Z
2020/7/16 23:13:40,7.48,5.04,45.71,218.73,35.89,16.63,19.28,27.63,98.72,30.07,119.07,20.64,28.85,29.41,33.5,120.02,30.83,52.855,Z
